Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
3.2015000000e+02 6.0000000000e+01 -7.2523632683e+01 1.9776078708e-01 4.9479202531e+04 1.0314032280e+01 2.4496203220e+09 1.0200202001e+06 -3.5623074558e+06 9.0857637741e+03 -4.9982394132e+02 1.1972948429e-01 3.6569227917e+04 1.0766663249e+02 2.7565590112e+02 5.7460987990e-02 2.5902147445e-03 1.3270028198e-03 6.5331684428e-03 6.5987853681e-03 3.6587870373e+01 5.0163991150e+01 5.3934943339e+00 3.1030031051e+01 2.7236566489e+01 -1.9808603512e-01 5.0011944808e-01 9.4745667832e+02 8.3642402173e+02
3.3015000000e+02 6.0000000000e+01 -4.6010604837e+01 2.0148958444e-01 5.0768993318e+04 1.0474904058e+01 2.5790830821e+09 1.0654943487e+06 -2.3076537612e+06 9.8095812393e+03 -4.8444949238e+02 1.2078645494e-01 2.2616814530e+04 1.0299074376e+02 2.6865283845e+02 5.5429751978e-02 2.5697023856e-03 1.2895486577e-03 6.8811177835e-03 6.5065999071e-03 3.7027134726e+01 5.0256443237e+01 5.0501024496e+00 3.1337472870e+01 2.5372204804e+01 -1.8014554590e-01 5.1317684978e-01 9.3140523933e+02 7.6268343681e+02
3.4015000000e+02 6.0000000000e+01 -1.9755967501e+01 2.0096126139e-01 5.2090663817e+04 1.0980904731e+01 2.7152181295e+09 1.1448327833e+06 -9.9839979303e+05 1.0269635593e+04 -4.6960874579e+02 1.1592523463e-01 9.6123252390e+03 9.6864735967e+01 2.6183644363e+02 5.5196091430e-02 2.5634133991e-03 1.2245311848e-03 7.2797970721e-03 6.6169478069e-03 3.7488468248e+01 5.0495064943e+01 4.6711161447e+00 3.1683307358e+01 2.3794438204e+01 -1.5537754219e-01 5.1204158188e-01 9.1439644490e+02 7.0990534315e+02
3.5015000000e+02 6.0000000000e+01 6.0929595737e+00 1.9784050906e-01 5.3434043868e+04 1.1013526037e+01 2.8571583652e+09 1.1784887583e+06 3.5849638778e+05 1.0658864944e+04 -4.5536119225e+02 1.1294610873e-01 -2.4347214565e+03 8.9498216998e+01 2.5525363930e+02 5.2611451407e-02 2.5290413015e-03 1.1531371123e-03 7.5926486213e-03 6.4488785789e-03 3.7969973093e+01 5.0588678809e+01 4.3064505761e+00 3.2050302445e+01 2.1814011642e+01 -1.4219520884e-01 5.0797464841e-01 9.0246003892e+02 6.4563613502e+02
3.6015000000e+02 6.0000000000e+01 3.1539096023e+01 2.0410236338e-01 5.4795895180e+04 1.1686469587e+01 3.0047490043e+09 1.2823358951e+06 1.7635791776e+06 1.1551755159e+04 -4.4167594635e+02 1.1316438027e-01 -1.3583932717e+04 8.6921665430e+01 2.4890977902e+02 5.3085665500e-02 2.5039795498e-03 1.1387073023e-03 7.9234255947e-03 6.6528854499e-03 3.8469762099e+01 5.0811904403e+01 4.2026280497e+00 3.2443941389e+01 2.1157806056e+01 -1.2454852845e-01 5.2617657055e-01 8.9112465680e+02 6.2206333856e+02
3.7015000000e+02 6.0000000000e+01 5.6533695538e+01 1.9771484568e-01 5.6171594151e+04 1.1660485309e+01 3.1575950627e+09 1.3110330406e+06 3.2130499499e+06 1.1742284393e+04 -4.2856182520e+02 1.0772038143e-01 -2.3880528987e+04 7.9184286973e+01 2.4281372759e+02 5.0404941256e-02 2.4495027860e-03 1.0576961266e-03 8.1761513402e-03 6.4573830362e-03 3.8985990108e+01 5.0816206022e+01 3.8842016489e+00 3.2869595554e+01 1.9262486421e+01 -1.2132607191e-01 5.1491228117e-01 8.8245559205e+02 5.6852849898e+02
3.8015000000e+02 6.0000000000e+01 8.0886227962e+01 2.0092436435e-01 5.7549887287e+04 1.2115077700e+01 3.3145458403e+09 1.3966425001e+06 4.6947784080e+06 1.2522696876e+04 -4.1611217424e+02 1.0712809788e-01 -3.3307991867e+04 7.5548904961e+01 2.3699845131e+02 4.9891577340e-02 2.4072631307e-03 1.0330553843e-03 8.4631381597e-03 6.5352049176e-03 3.9516878020e+01 5.0931741802e+01 3.7979471408e+00 3.3312137548e+01 1.8383056653e+01 -1.1280718908e-01 5.2769513878e-01 8.7308101455e+02 5.4138177066e+02
3.9015000000e+02 6.0000000000e+01 1.0495682083e+02 2.0069617232e-01 5.8949632801e+04 1.2464525959e+01 3.4778712020e+09 1.4710900030e+06 6.2299570751e+06 1.3093727445e+04 -4.0412972466e+02 1.0425731734e-01 -4.2059442212e+04 7.1088369200e+01 2.3137097743e+02 4.8921925674e-02 2.3997494656e-03 9.9241029220e-04 8.8556114594e-03 6.5496787809e-03 4.0060730405e+01 5.1366961706e+01 3.6776107594e+00 3.3775296599e+01 1.7399906593e+01 -8.6034949189e-02 5.2711774598e-01 8.6154632862e+02 5.0665906266e+02
4.0015000000e+02 6.0000000000e+01 1.2882836880e+02 2.0119698933e-01 6.0374330345e+04 1.2770124011e+01 3.6481196013e+09 1.5441288659e+06 7.8234405349e+06 1.3743744497e+04 -3.9256180466e+02 1.0246031262e-01 -5.0213170856e+04 6.6876432992e+01 2.2591114605e+02 4.7783773901e-02 2.3692174546e-03 9.5868455502e-04 9.1736016484e-03 6.5437748115e-03 4.0615947596e+01 5.1639816864e+01 3.5962342281e+00 3.4252759094e+01 1.6484765988e+01 -7.1449302280e-02 5.3134131885e-01 8.5291509075e+02 4.7758610809e+02
4.1015000000e+02 6.0000000000e+01 1.5215437100e+02 2.0034299119e-01 6.1801183184e+04 1.3052045749e+01 3.8226484701e+09 1.6147003673e+06 9.4507797573e+06 1.4294314288e+04 -3.8155804347e+02 9.9508728173e-02 -5.7698507204e+04 6.2775986306e+01 2.2069535658e+02 4.6609558950e-02 2.2972031030e-03 9.2044150484e-04 9.3216217139e-03 6.5235451066e-03 4.1181033148e+01 5.1617906798e+01 3.5112811864e+00 3.4739641882e+01 1.5571094457e+01 -8.1399427905e-02 5.3606219345e-01 8.4985569850e+02 4.5758310245e+02
4.2015000000e+02 6.0000000000e+01 1.7472765806e+02 1.9666579152e-01 6.3211816771e+04 1.3052803534e+01 3.9991823076e+09 1.6517088442e+06 1.1094088179e+07 1.4631652312e+04 -3.7116692864e+02 9.6288401993e-02 -6.4497934198e+04 5.7904295091e+01 2.1577032360e+02 4.4555081413e-02 2.2203867294e-03 8.7199792705e-04 9.4047642982e-03 6.3687709562e-03 4.1754597497e+01 5.1619633592e+01 3.3895538452e+00 3.5244194638e+01 1.4536277701e+01 -9.6653165145e-02 5.3294696799e-01 8.4955959444e+02 4.3423593100e+02
