Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	aP (1/K)	kT (1/Pa)
494.65	60	184.83	0.0054102	15.953	21.161	70.324	39.335	53.93	826.27	-0.079419	27.106	0.10062	0.00192188906919	0.01086512764133
496.3	60	184.25	0.0054274	16.025	21.25	70.504	39.425	53.984	826.17	-0.079756	27.09	0.10078	0.00191529532292	0.01088797263933
497.95	60	183.67	0.0054446	16.098	21.339	70.683	39.515	54.038	826.07	-0.080103	27.074	0.10094	0.00190875200096	0.01091102005307
499.6	60	183.09	0.0054617	16.171	21.428	70.862	39.605	54.092	825.99	-0.08046	27.058	0.1011	0.00190222997499	0.01093374190733
501.25	60	182.52	0.0054788	16.243	21.517	71.041	39.696	54.147	825.91	-0.080828	27.044	0.10127	0.00189569918513	0.0109559929366
502.9	60	181.95	0.005496	16.316	21.607	71.219	39.786	54.202	825.84	-0.081204	27.029	0.10144	0.00188926681794	0.01097845295026
504.55	60	181.39	0.0055131	16.389	21.696	71.396	39.877	54.257	825.78	-0.081591	27.015	0.10161	0.00188273648531	0.01099996332724
506.2	60	180.82	0.0055302	16.462	21.786	71.573	39.968	54.313	825.73	-0.081986	27.002	0.10178	0.00187636661011	0.01102221259501
507.85	60	180.27	0.0055473	16.536	21.875	71.75	40.058	54.369	825.69	-0.08239	26.989	0.10195	0.00187000703565	0.01104344504908
509.5	60	179.71	0.0055645	16.609	21.965	71.927	40.149	54.425	825.65	-0.082802	26.977	0.10212	0.00186364146515	0.01106520566397
511.15	60	179.16	0.0055816	16.682	22.055	72.103	40.24	54.482	825.62	-0.083223	26.965	0.1023	0.00185734796282	0.01108647817416
512.8	60	178.61	0.0055987	16.756	22.145	72.278	40.331	54.539	825.61	-0.083652	26.953	0.10248	0.00185105637327	0.0111074027782
514.45	60	178.07	0.0056158	16.829	22.235	72.454	40.422	54.596	825.6	-0.084089	26.942	0.10266	0.00184475960258	0.01112789195037
516.1	60	177.53	0.0056329	16.903	22.325	72.629	40.513	54.654	825.59	-0.084533	26.932	0.10284	0.00183859088261	0.011148769783
517.75	60	176.99	0.0056499	16.977	22.415	72.803	40.604	54.712	825.6	-0.084984	26.922	0.10303	0.00183243950279	0.01116929274337
519.4	60	176.46	0.005667	17.051	22.506	72.977	40.696	54.77	825.61	-0.085442	26.912	0.10321	0.00182617813208	0.01118909219201
521.05	60	175.93	0.0056841	17.125	22.596	73.151	40.787	54.828	825.63	-0.085907	26.903	0.1034	0.00182002723272	0.01120907586149
522.7	60	175.4	0.0057012	17.199	22.686	73.325	40.878	54.887	825.65	-0.086379	26.894	0.10359	0.00181400234578	0.01122944506894
